property_type,location,bed,bath,total_sqft,price
Apartment,"Ashkona, Dakshin Khan, Dhaka",3,3,"1,275 sqft","6,630,000"
Apartment,"Ashkona, Dakshin Khan, Dhaka",3,3,"1,275 sqft","6,630,000"
Apartment,"Uttar Badda, Badda, Dhaka",3,3,"1,000 sqft","5,250,000"
Apartment,"Jigatola, Hazaribag, Dhaka",3,2,"1,229 sqft","8,234,300"
Apartment,"Bashabo Madartek Road, Bashabo, Dhaka",2,2,896 sqft,"4,700,000"
Apartment,"Boro Maghbazar, Maghbazar, Dhaka",3,2,965 sqft,"7,000,000"
Apartment,"Uttar Badda, Badda, Dhaka",3,3,"1,231 sqft","6,039,500"
Apartment,"Uttar Badda, Badda, Dhaka",2,2,767 sqft,"3,451,500"
Apartment,"Uttar Badda, Badda, Dhaka",3,3,"1,231 sqft","5,539,500"
Apartment,"Uttar Badda, Badda, Dhaka",3,3,"1,231 sqft","5,539,500"
Apartment,"Uttar Badda, Badda, Dhaka",3,3,"1,000 sqft","5,000,000"
Apartment,"Bochila, Mohammadpur, Dhaka",3,3,"1,200 sqft","6,400,000"
Apartment,"Shamibag, Sutrapur, Dhaka",2,2,628 sqft,"3,600,000"
Apartment,"Matuail, Demra, Dhaka",3,2,"1,010 sqft","3,400,000"
Apartment,"Matuail, Demra, Dhaka",3,3,"1,800 sqft","6,500,000"
Apartment,"Matuail, Demra, Dhaka",3,2,900 sqft,"3,250,000"
Apartment,"North Adabor, Adabor, Dhaka",2,2,840 sqft,"4,900,000"
Apartment,"Jhigatola Road, Dhanmondi, Dhaka",3,4,"1,900 sqft","15,000,000"
Apartment,"South Banasree Project, Banasree, Dhaka",3,3,"1,250 sqft","5,200,000"
Apartment,"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",3,2,"1,050 sqft","6,300,000"
Apartment,"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",3,2,"1,050 sqft","6,300,000"
Apartment,"Goaltek, Dakshin Khan, Dhaka",2,2,892 sqft,"5,000,000"
Apartment,"Comfort Housing, Adabor, Dhaka",4,4,"2,500 sqft","14,000,000"
Apartment,"Comfort Housing, Adabor, Dhaka",3,3,"1,250 sqft","7,000,000"
Apartment,"Nobodoy Housing Society, Mohammadpur, Dhaka",2,2,720 sqft,"3,800,000"
